Designator,Mid X,Mid Y,Rotation,Layer
J1,32.86,-66.655,0,bottom
J2,46.43,-66.65,0,bottom
C1,54.3,-66.7625,90,top
C2,58.5,-66.8625,90,top
C3,62.8,-66.8375,90,top
C4,68.4625,-77.1,180,top
C5,82.3375,-74.6,180,top
C6,93.7,-76.1625,-90,top
C7,44.6625,-73.9,180,top
C8,31.2375,-73.8,180,top
C9,57.2375,-74,0,top
Q1,67.3625,-66.8,180,top
R1,31.2875,-78.4,0,top
R2,71.5,-66.8875,90,top
R3,57.1875,-78.1,0,top
R4,82.3875,-79.1,0,top
R5,25.5875,-72.2,0,top
R6,38.2875,-72.2,0,top
R7,50.9875,-72.2,0,top
R8,63.6875,-72.1,0,top
R9,76.3875,-72.1,0,top
R10,89.0875,-72.2,0,top
U1,25.4,-76.2,270,top
U2,38.1,-76.2,270,top
U3,50.8,-76.2,270,top
U4,63.5,-76.2,270,top
U5,76.2,-76.2,270,top
U6,88.9,-76.2,270,top
