Designator,Mid X,Mid Y,Layer,Rotation
BZ1,50.640000,-133.455000,top,-90.000000
C1,47.350000,-64.495000,top,-90.000000
C2,49.020000,-71.600000,top,0.000000
C3,45.340000,-64.512500,top,-90.000000
C4,49.020000,-72.600000,top,0.000000
C5,46.400000,-64.495000,top,-90.000000
C6,49.000000,-73.600000,top,0.000000
C7,39.800000,-65.655000,top,-90.000000
C8,45.400000,-75.600000,top,-90.000000
C9,50.450000,-60.405000,top,180.000000
C10,50.680000,-78.700000,top,180.000000
C11,50.650000,-56.605000,top,180.000000
C12,49.775000,-83.925000,top,0.000000
C13,50.650000,-57.605000,top,180.000000
C14,49.775000,-81.550000,top,0.000000
C15,66.183236,-72.500000,top,90.000000
C16,52.850000,-68.195000,top,90.000000
C17,51.850000,-68.195000,top,90.000000
C18,57.750000,-72.415000,top,0.000000
C19,53.850000,-68.205000,top,90.000000
C20,38.320000,-97.900000,top,0.000000
C21,58.950000,-67.395000,top,90.000000
C22,59.430000,-70.715000,top,180.000000
C23,74.013000,-129.519000,top,0.000000
C24,56.275000,-129.600000,top,90.000000
C25,58.950000,-69.215000,top,-90.000000
C26,61.950000,-69.215000,top,-90.000000
C27,60.950000,-69.215000,top,-90.000000
C28,73.533001,-131.483999,top,-90.000000
C29,56.273000,-131.480000,top,-90.000000
C30,59.950000,-69.215000,top,-90.000000
C31,53.250000,-73.375000,top,90.000000
C32,54.450000,-74.395000,top,90.000000
C33,62.950000,-69.215000,top,-90.000000
D1,43.195000,-127.345000,top,180.000000
D2,99.980000,-80.220000,top,180.000000
D3,100.000000,-90.780000,top,180.000000
D4,99.450000,-64.015000,top,180.000000
D5,100.025000,-85.375000,top,180.000000
D6,99.425000,-69.250000,top,180.000000
D7,99.975000,-97.750000,top,180.000000
D8,99.425000,-74.430000,top,180.000000
D9,99.980000,-103.565000,top,180.000000
D10,48.150000,-87.500000,top,180.000000
F1,72.425736,-70.825000,top,90.000000
J1,89.705000,-57.745000,top,-90.000000
J2,70.200000,-57.800000,top,-90.000000
J3,44.745000,-148.321567,top,0.000000
J4,98.530000,-145.735000,top,180.000000
J5,98.555000,-136.645000,top,180.000000
J6,98.510000,-127.505000,top,180.000000
J7,98.510000,-118.510000,top,180.000000
J8,71.635499,-143.807499,top,0.000000
J9,80.290400,-143.807499,top,0.000000
J10,54.298001,-143.794999,top,0.000000
J11,62.947900,-143.819999,top,0.000000
L1,43.075000,-59.075000,top,0.000000
L2,43.775000,-81.500000,top,-90.000000
L3,56.150000,-62.015000,top,0.000000
Q1,93.030000,-148.235000,top,0.000000
Q2,93.117500,-139.145000,top,0.000000
Q3,93.055000,-130.045000,top,0.000000
Q4,93.017500,-121.070000,top,0.000000
Q5,38.395000,-127.445000,top,-90.000000
Q6,64.225000,-98.800000,top,0.000000
Q7,64.825000,-91.200000,top,0.000000
Q8,67.762500,-88.650000,top,0.000000
R1,39.590000,-118.800000,top,0.000000
R2,50.845000,-59.005000,top,0.000000
R3,46.500000,-66.375000,top,180.000000
R4,52.600000,-78.525000,top,90.000000
R5,51.100000,-76.700000,top,90.000000
R6,48.670000,-59.795000,top,-90.000000
R7,50.710000,-79.700000,top,180.000000
R8,90.540000,-148.295000,top,-90.000000
R9,90.665000,-139.155000,top,-90.000000
R10,90.565000,-130.055000,top,-90.000000
R11,90.540000,-121.080000,top,-90.000000
R12,94.540000,-146.235000,top,-90.000000
R13,94.590000,-137.145000,top,-90.000000
R14,94.490000,-127.995000,top,-90.000000
R15,94.515000,-119.045000,top,-90.000000
R16,39.855000,-124.945000,top,180.000000
R17,47.420000,-142.611567,top,0.000000
R18,42.045000,-142.611567,top,180.000000
R19,96.510000,-80.225000,top,0.000000
R20,96.535000,-90.775000,top,0.000000
R21,96.010000,-64.000000,top,0.000000
R22,96.585000,-85.350000,top,0.000000
R23,95.935000,-69.265000,top,0.000000
R24,96.485000,-97.755000,top,0.000000
R25,52.325000,-66.290000,top,0.000000
R26,38.900000,-94.500000,top,-90.000000
R27,38.025000,-96.710000,top,180.000000
R28,95.935000,-74.450000,top,0.000000
R29,96.390000,-103.550000,top,0.000000
R30,55.325000,-72.715000,top,180.000000
R31,64.450000,-70.662500,top,90.000000
R32,53.450000,-71.175000,top,0.000000
R33,52.250000,-72.765000,top,-90.000000
R34,88.925000,-93.700000,top,180.000000
R35,88.925000,-88.600000,top,180.000000
R36,68.215000,-93.800000,top,0.000000
R37,88.925000,-98.700000,top,180.000000
R38,88.925000,-96.200000,top,180.000000
R39,88.925000,-91.100000,top,180.000000
R40,68.115000,-86.100000,top,0.000000
R41,68.215000,-96.300000,top,0.000000
R42,52.825000,-119.085000,top,90.000000
R43,54.125000,-119.085000,top,90.000000
R44,41.900000,-87.800000,top,-90.000000
SW1,39.475000,-122.500000,top,180.000000
SW2,44.160000,-90.480000,top,0.000000
U1,42.840000,-108.300000,top,90.000000
U2,42.737500,-66.025000,top,0.000000
U3,48.062500,-75.850000,top,0.000000
U4,68.075736,-70.937500,top,-90.000000
U5,56.407000,-68.714748,top,-90.000000
U6,75.883001,-131.498999,top,90.000000
U7,58.573000,-131.000000,top,90.000000
U8,66.050000,-92.450000,top,90.000000
U9,78.450000,-112.745000,top,180.000000
