Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","MLT-7525",50.640000,-133.455000,-90.000000,top
"C1","4.7uF","C_0402_1005Metric",47.350000,-64.495000,-90.000000,top
"C2","4.7uF","C_0402_1005Metric",49.020000,-71.600000,0.000000,top
"C3","4.7uF","C_0402_1005Metric",45.340000,-64.512500,-90.000000,top
"C4","4.7uF","C_0402_1005Metric",49.020000,-72.600000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",46.400000,-64.495000,-90.000000,top
"C6","0.1uF","C_0402_1005Metric",49.000000,-73.600000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",39.800000,-65.655000,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",45.400000,-75.600000,-90.000000,top
"C9","33pF","C_0402_1005Metric",50.450000,-60.405000,180.000000,top
"C10","33pF","C_0402_1005Metric",50.680000,-78.700000,180.000000,top
"C11","47uF","C_0603_1608Metric",50.850000,-56.000000,180.000000,top
"C12","33uF","C_1206_3216Metric",49.775000,-83.925000,0.000000,top
"C13","47uF","C_0603_1608Metric",50.850000,-57.505000,180.000000,top
"C14","33uF","C_1206_3216Metric",49.775000,-81.550000,0.000000,top
"C15","10uF","C_0402_1005Metric",66.183236,-72.500000,90.000000,top
"C16","22uF","C_0402_1005Metric",52.850000,-68.195000,90.000000,top
"C17","22uF","C_0402_1005Metric",51.850000,-68.195000,90.000000,top
"C18","4.7uF","C_0402_1005Metric",57.750000,-72.415000,0.000000,top
"C19","0.1uF","C_0402_1005Metric",53.850000,-68.205000,90.000000,top
"C20","0.1uF","C_0402_1005Metric",38.320000,-97.900000,0.000000,top
"C21","0.1uF","C_0402_1005Metric",58.950000,-67.395000,90.000000,top
"C22","0.1uF","C_0402_1005Metric",59.430000,-70.715000,180.000000,top
"C23","0.1uF","C_0402_1005Metric",74.013000,-129.519000,0.000000,top
"C24","0.1uF","C_0402_1005Metric",56.275000,-129.600000,90.000000,top
"C25","0.1uF","C_0402_1005Metric",58.950000,-69.215000,-90.000000,top
"C26","22uF","C_0402_1005Metric",61.950000,-69.215000,-90.000000,top
"C27","22uF","C_0402_1005Metric",60.950000,-69.215000,-90.000000,top
"C28","0.1uF","C_0402_1005Metric",73.533001,-131.483999,-90.000000,top
"C29","0.1uF","C_0402_1005Metric",56.273000,-131.480000,-90.000000,top
"C30","22uF","C_0402_1005Metric",59.950000,-69.215000,-90.000000,top
"C31","100pF","C_0402_1005Metric",53.250000,-73.375000,90.000000,top
"C32","4.7nF","C_0402_1005Metric",54.450000,-74.395000,90.000000,top
"C33","22uF","C_0402_1005Metric",62.950000,-69.215000,-90.000000,top
"D1","D_Small","D_SOD-123",43.195000,-127.345000,180.000000,top
"D2","LBAT","LED_1206_3216Metric",99.980000,-80.220000,180.000000,top
"D3","RLED","LED_1206_3216Metric",100.000000,-90.780000,180.000000,top
"D4","LF0","LED_1206_3216Metric",99.450000,-64.015000,180.000000,top
"D5","PWR","LED_1206_3216Metric",100.025000,-85.375000,180.000000,top
"D6","LF2","LED_1206_3216Metric",99.425000,-69.250000,180.000000,top
"D7","TXLED","LED_1206_3216Metric",99.975000,-97.750000,180.000000,top
"D8","LF4","LED_1206_3216Metric",99.425000,-74.430000,180.000000,top
"D9","RXLED","LED_1206_3216Metric",99.980000,-103.565000,180.000000,top
"D10","D_Small","D_SOD-123",48.150000,-87.500000,180.000000,top
"F1","Polyfuse","Fuse_Bourns_MF-SM_7.98x5.44mm",72.425736,-70.825000,90.000000,top
"J1","Conn_01x09_Pin","PinHeader_1x09_P2.54mm_Vertical_SMD_Pin1Left",89.705000,-57.745000,-90.000000,top
"J2","Barrel_Jack","BarrelJack_CLIFF_FC681465S_SMT_Horizontal",70.200000,-57.800000,-90.000000,top
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",44.745000,-148.321567,0.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right",98.530000,-145.735000,180.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right",98.555000,-136.645000,180.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right",98.510000,-127.505000,180.000000,top
"J7","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right",98.510000,-118.510000,180.000000,top
"J8","1x2_Screw","CONN2_2060-452&slash_998-404_WAG",71.635499,-143.807499,0.000000,top
"J9","1x2_Screw","CONN2_2060-452&slash_998-404_WAG",80.290400,-143.807499,0.000000,top
"J10","1x2_Screw","CONN2_2060-452&slash_998-404_WAG",54.298001,-143.794999,0.000000,top
"J11","1x2_Screw","CONN2_2060-452&slash_998-404_WAG",62.947900,-143.819999,0.000000,top
"L1","4.7uH","L_Bourns_SRP7028A_7.3x6.6mm",43.075000,-59.075000,0.000000,top
"L2","5.6uH","L_Bourns_SRP7028A_7.3x6.6mm",43.775000,-81.500000,-90.000000,top
"L3","4.7uH","L_Bourns_SRP7028A_7.3x6.6mm",56.150000,-62.015000,0.000000,top
"Q1","BSS138","SOT-23",93.030000,-148.235000,0.000000,top
"Q2","BSS138","SOT-23",93.117500,-139.145000,0.000000,top
"Q3","BSS138","SOT-23",93.055000,-130.045000,0.000000,top
"Q4","BSS138","SOT-23",93.017500,-121.070000,0.000000,top
"Q5","BSS138","SOT-23",38.395000,-127.445000,-90.000000,top
"Q6","BSS138","SOT-23",64.225000,-98.800000,0.000000,top
"Q7","BSS138","SOT-23",64.825000,-91.200000,0.000000,top
"Q8","BSS138","SOT-23",67.762500,-88.650000,0.000000,top
"R1","5.1k","R_0402_1005Metric",39.590000,-118.800000,0.000000,top
"R2","100k","R_0603_1608Metric",50.845000,-59.005000,0.000000,top
"R3","31.6k","R_0603_1608Metric",46.500000,-66.375000,180.000000,top
"R4","100k","R_0603_1608Metric",52.600000,-78.525000,90.000000,top
"R5","19.1k","R_0603_1608Metric",51.100000,-76.700000,90.000000,top
"R6","1k","R_0402_1005Metric",48.670000,-59.795000,-90.000000,top
"R7","1k","R_0402_1005Metric",50.710000,-79.700000,180.000000,top
"R8","4.7k","R_0402_1005Metric",90.540000,-148.295000,-90.000000,top
"R9","4.7k","R_0402_1005Metric",90.665000,-139.155000,-90.000000,top
