"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BZ1";"MLT-7525";1;"Buzzer";;;
2;"C1, C2, C3, C4, C18";"C_0402_1005Metric";5;"4.7uF";;;
3;"C5, C6, C7, C8, C19, C20, C21, C22, C23, C24, C25, C28, C29, C34, C36";"C_0402_1005Metric";15;"0.1uF";;;
4;"C9, C10";"C_0402_1005Metric";2;"33pF";;;
5;"C11, C13";"C_0603_1608Metric";2;"47uF";;;
6;"C12, C14";"C_1206_3216Metric";2;"33uF";;;
7;"C15, C35";"C_0805_2012Metric";2;"10uF";;;
8;"C16, C17, C26, C27, C30, C33";"C_0402_1005Metric";6;"22uF";;;
9;"C31";"C_0402_1005Metric";1;"100pF";;;
10;"C32";"C_0402_1005Metric";1;"4.7nF";;;
11;"D1, D10";"D_SOD-123";2;"D_Small";;;
12;"D2";"LED_1206_3216Metric";1;"LBAT";;;
13;"D3";"LED_1206_3216Metric";1;"RLED";;;
14;"D5";"LED_1206_3216Metric";1;"PWR";;;
15;"D7";"LED_1206_3216Metric";1;"TXLED";;;
16;"D9";"LED_1206_3216Metric";1;"RXLED";;;
17;"F1";"Fuse_Bourns_MF-SM_7.98x5.44mm";1;"Polyfuse";;;
18;"J1";"PinHeader_1x09_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x09_Pin";;;
19;"J2";"BarrelJack_CLIFF_FC681465S_SMT_Horizontal";1;"Barrel_Jack";;;
20;"J3";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
21;"J4, J5, J6, J7";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right";4;"Conn_01x03_Pin";;;
22;"J8, J9, J10, J11";"CONN2_2060-452&slash_998-404_WAG";4;"1x2_Screw";;;
23;"L1, L3";"L_Bourns_SRP7028A_7.3x6.6mm";2;"4.7uH";;;
24;"L2";"L_Bourns_SRP7028A_7.3x6.6mm";1;"5.6uH";;;
25;"Q1, Q2, Q3, Q4, Q5";"SOT-23";5;"BSS138";;;
26;"R1, R17, R18, R44";"R_0402_1005Metric";4;"5.1k";;;
27;"R2, R4, R27";"R_0603_1608Metric";3;"100k";;;
28;"R3";"R_0603_1608Metric";1;"31.6k";;;
29;"R5";"R_0603_1608Metric";1;"19.1k";;;
30;"R6, R7";"R_0402_1005Metric";2;"1k";;;
31;"R8, R9, R10, R11, R12, R13, R14, R15";"R_0402_1005Metric";8;"4.7k";;;
32;"R16";"R_0402_1005Metric";1;"180R";;;
33;"R19, R20, R24, R29";"R_0402_1005Metric";4;"5.1R";;;
34;"R21";"R_0402_1005Metric";1;"33k";;;
35;"R22";"R_0402_1005Metric";1;"82R";;;
36;"R25";"R_0603_1608Metric";1;"49.9k";;;
37;"R26";"R_0603_1608Metric";1;"1M";;;
38;"R30";"R_0603_1608Metric";1;"15k";;;
39;"R31";"R_0805_2012Metric";1;"6mR";;;
40;"R32";"R_0402_1005Metric";1;"54.9k";;;
41;"R33";"R_0402_1005Metric";1;"11.3k";;;
42;"R42, R43";"R_0402_1005Metric";2;"22R";;;
43;"SW1, SW2";"SW_Push_SPST_TS-1088";2;"SW_SPST";;;
44;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
45;"U2, U3";"WSON-12-1EP_3x3mm_P0.5mm_EP1.5x2.5mm";2;"LMR51450";;;
46;"U4";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TVS1400DRV";;;
47;"U5";"VQFN21_RYQ_TEX";1;"TPS552892";;;
48;"U6, U7";"WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65";2;"DRV8835";;;
49;"U8";"XL-SA3391SRWC";1;"XL-SA3391SRWC";;;
50;"U9";"TSSOP-14_4.4x5mm_P0.65mm";1;"74AHCT125";;;
51;"U10";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"MAX7219";;;
